Name,Team,Pos,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,WAR,ADP,FanGraphs ID,Proj,Mgr,Rd
Tim Anderson,CHW,SS,152,658,620,180,33,2,22,97,71,27,137,4,20,7,0.290,0.322,0.457,0.779,0.333,3.4,30.2,15172,92.1,Ron,4
Byron Buxton,MIN,OF,131,567,524,141,36,3,32,86,87,29,138,7,18,4,0.269,0.314,0.533,0.847,0.355,4.9,44.6,14161,91.8,Justin,8
Giancarlo Stanton,NYY,OF/DH,136,588,515,135,23,0,36,79,102,63,164,5,1,0,0.261,0.345,0.517,0.862,0.364,2.8,95.6,4949,91.6,Ron,5
Jorge Polanco,MIN,2B/SS,147,637,577,158,33,3,25,88,86,48,111,5,11,5,0.274,0.331,0.474,0.805,0.343,3.5,78.4,13152,91.5,John,2
Jose Altuve,HOU,2B,147,637,568,157,29,2,25,99,76,57,93,5,7,3,0.277,0.346,0.469,0.814,0.348,4.0,74.2,5417,91.5,Scott,5
Eloy Jimenez,CHW,OF/DH,139,602,555,151,28,1,34,77,101,38,145,4,1,0,0.272,0.320,0.509,0.829,0.350,2.6,65.8,17484,91.2,Evans,5
Matt Chapman,TOR,3B,151,651,564,130,27,4,33,89,93,73,190,7,3,2,0.231,0.324,0.465,0.790,0.338,4.1,173,16505,89.8,Andrew,7
Ryan Mountcastle,BAL,1B/OF/DH,146,630,578,152,28,2,31,79,95,40,161,5,4,2,0.263,0.313,0.478,0.792,0.335,1.6,122.5,18373,89.1,Paula,5
Salvador Perez,KCR,C/DH,147,594,555,145,25,0,36,74,98,24,146,10,1,0,0.261,0.301,0.501,0.802,0.337,2.7,32.3,7304,87.2,Jeff,3
Austin Meadows,TBR,OF/DH,136,588,521,131,29,3,28,79,92,55,129,6,7,3,0.252,0.329,0.482,0.810,0.343,2.3,151.5,15672,87.1,Paula,6
Mitch Haniger,SEA,OF/DH,141,609,541,134,25,2,30,87,85,52,152,9,3,0,0.247,0.320,0.466,0.786,0.335,2.3,108.3,14274,86.3,Scott,4
Randy Arozarena,TBR,OF,144,623,546,140,29,3,24,88,75,55,165,16,20,10,0.256,0.339,0.450,0.790,0.339,2.7,66.4,19290,86.0,Rich,6
Javier Baez,DET,2B/SS,141,609,567,144,28,3,27,78,85,29,180,8,16,6,0.253,0.298,0.459,0.757,0.320,3.0,62.9,12979,85.0,Rich,5
Lourdes Gurriel Jr.,TOR,OF,139,602,557,151,31,2,26,75,89,33,122,5,4,3,0.271,0.315,0.477,0.792,0.336,1.8,143.6,19238,84.7,Myron,7
Trey Mancini,BAL,1B/DH,149,644,577,153,32,2,26,82,84,53,142,8,1,0,0.265,0.334,0.461,0.795,0.339,1.7,211.2,15149,84.6,Jeff,8
Gleyber Torres,NYY,SS,146,630,557,147,27,0,23,78,81,62,125,4,12,5,0.264,0.339,0.438,0.777,0.335,3.1,159.6,16997,83.2,Justin,6
Ty France,SEA,1B/2B/DH,143,616,546,151,30,2,21,80,81,43,112,21,1,1,0.277,0.351,0.456,0.807,0.348,3.0,159.2,17982,83.2,John,6
